Year,Seaport,Country,Region,"Reclaimed area (km^2, raw)","Reclaimed area (km^2, smoothed)"
1990,Abu Dhabi,UAE,Middle East,11.76,11.76
1990,Alexandria,Egypt,Middle East,0.44,0.44
1990,Algeciras,Spain,Mediterranean,0.62,0.62
1990,Barcelona,Spain,Mediterranean,0,0
1990,Busan,South Korea,Asia,5.6,5.6
1990,Cartagena,Colombia,Central & South America,0.85,0.85
1990,Colombo,Sri Lanka,Asia,0.33,0.33
1990,Dalian,China,Asia,0.11,0.11
1990,Dubai,UAE,Middle East,1.04,1.04
1990,Durban,South Africa,Africa,0.31,0.31
1990,Felixstowe,UK,Northern Europe,3.69,3.69
1990,Genoa,Italy,Mediterranean,0,0
1990,Guangzhou,China,Asia,9.29,9.29
1990,Yeosu Gwangyang,South Korea,Asia,0.34,0.34
1990,Hai Phong,Vietnam,Asia,3.63,3.63
1990,Haikou,China,Asia,2.6,2.6
1990,Hong Kong,China,Asia,1.16,1.16
1990,Incheon,South Korea,Asia,0.86,0.86
1990,Jeddah,Saudi Arabia,Middle East,2.43,2.43
1990,Jiaxing,China,Asia,3.93,3.93
1990,Jinzhou,China,Asia,0.34,0.34
1990,Kaohsiung,Taiwan,Asia,10.08,10.08
1990,Karachi,Pakistan,Asia,3.93,3.93
1990,Dammam,Saudi Arabia,Middle East,0.96,0.96
1990,King Abdullah,Saudi Arabia,Middle East,0,0
1990,Port Klang,Malaysia,Asia,0.57,0.57
1990,Kobe,Japan,Asia,1.28,1.28
1990,Laem Chabang,Thailand,Asia,5.22,5.22
1990,Le Havre,France,Northern Europe,1.16,1.16
1990,Lianyungang,China,Asia,6.19,6.19
1990,Lome,Togo,Africa,0.19,0.19
1990,Los Angeles,USA,North America,0.85,0.85
1990,Manila,Philippines,Asia,1.65,1.65
1990,Manzanillo,Mexico,North America,0.81,0.81
1990,Jawaharlal Nehru,India,Asia,1.36,1.36
1990,Mundra,India,Asia,3.23,3.23
1990,Nagoya,Japan,Asia,1.56,1.56
1990,Ningbo-Zhoushan,China,Asia,12.11,12.11
1990,Osaka,Japan,Asia,1.38,1.38
1990,Piraeus,Greece,Mediterranean,0.68,0.68
1990,Qingdao,China,Asia,4.77,4.77
1990,Qinzhou,China,Asia,1.87,1.87
1990,Quanzhou,China,Asia,0.2,0.2
1990,Rizhao,China,Asia,2.27,2.27
1990,Rotterdam,Netherlands,Northern Europe,9.79,9.79
1990,Said,Egypt,Middle East,0,0
1990,Salalah,Oman,Middle East,0.96,0.96
1990,Shanghai,China,Asia,18.35,18.35
1990,Shenzhen,China,Asia,6.93,6.93
1990,Singapore,Singapore,Asia,16.42,16.42
1990,Sydney,Australia,Oceania,0.32,0.32
1990,Taicang,China,Asia,6.63,6.63
1990,Taichung,Taiwan,Asia,11.31,11.31
1990,Tanger Med,Morocco,Mediterranean,0.15,0.15
1990,Tangshan,China,Asia,30.81,30.81
1990,Tanjung Pelepas,Malaysia,Asia,1.77,1.77
1990,Tanjung Perak,Indonesia,Asia,0,0
1990,Tanjung Priok,Indonesia,Asia,0.52,0.52
1990,Tianjin,China,Asia,11.71,11.71
1990,Tokyo,Japan,Asia,6.07,6.07
1990,Valencia,Spain,Mediterranean,1.2,1.2
1990,Xiamen,China,Asia,0.18,0.18
1990,Yantai,China,Asia,0.28,0.28
1990,Yingkou,China,Asia,8.02,8.02
1990,Yokohama,Japan,Asia,1.12,1.12
1990,Zhuhai,China,Asia,1.4,1.4
1991,Abu Dhabi,UAE,Middle East,14.24,14.24
1991,Alexandria,Egypt,Middle East,0.47,0.47
1991,Algeciras,Spain,Mediterranean,0.67,0.67
1991,Barcelona,Spain,Mediterranean,0,0
1991,Busan,South Korea,Asia,5.06,5.06
1991,Cartagena,Colombia,Central & South America,0.88,0.88
1991,Colombo,Sri Lanka,Asia,0.12,0.33
1991,Dalian,China,Asia,0.79,0.68
1991,Dubai,UAE,Middle East,1.1,1.1
1991,Durban,South Africa,Africa,0.38,0.38
1991,Felixstowe,UK,Northern Europe,3.69,3.69
1991,Genoa,Italy,Mediterranean,0,0
1991,Guangzhou,China,Asia,9.5,9.5
1991,Yeosu Gwangyang,South Korea,Asia,0.35,0.35
1991,Hai Phong,Vietnam,Asia,3.82,3.63
1991,Haikou,China,Asia,2.28,2.37
1991,Hong Kong,China,Asia,1.26,1.26
1991,Incheon,South Korea,Asia,0.91,0.91
1991,Jeddah,Saudi Arabia,Middle East,2.98,2.43
1991,Jiaxing,China,Asia,3.8,3.93
1991,Jinzhou,China,Asia,0.33,0.33
