Year,Seaport,Country,Region,"Reclaimed area (km^2, raw)"
1990,Abu Dhabi,UAE,Middle East,0
1990,Alexandria,Egypt,Middle East,0
1990,Algeciras,Spain,Mediterranean,0
1990,Barcelona,Spain,Mediterranean,0
1990,Busan,South Korea,Asia,0
1990,Cartagena,Colombia,Central & South America,0
1990,Colombo,Sri Lanka,Asia,0
1990,Dalian,China,Asia,0
1990,Dubai,UAE,Middle East,0
1990,Felixstowe,UK,Northern Europe,0
1990,Genoa,Italy,Mediterranean,0
1990,Guangzhou,China,Asia,0
1990,Yeosu Gwangyang,South Korea,Asia,0
1990,Hai Phong,Vietnam,Asia,0
1990,Haikou,China,Asia,0
1990,Hong Kong,China,Asia,0
1990,Incheon,South Korea,Asia,0
1990,Jeddah,Saudi Arabia,Middle East,0
1990,Jiaxing,China,Asia,0
1990,Jinzhou,China,Asia,0
1990,Kaohsiung,Taiwan,Asia,0
1990,Karachi,Pakistan,Asia,0
1990,Dammam,Saudi Arabia,Middle East,0
1990,King Abdullah,Saudi Arabia,Middle East,0
1990,Port Klang,Malaysia,Asia,0
1990,Kobe,Japan,Asia,0
1990,Laem Chabang,Thailand,Asia,0
1990,Le Havre,France,Northern Europe,0
1990,Lianyungang,China,Asia,0
1990,Lome,Togo,Africa,0
1990,Los Angeles,USA,North America,0
1990,Manila,Philippines,Asia,0
1990,Manzanillo,Mexico,North America,0
1990,Jawaharlal Nehru,India,Asia,0
1990,Mundra,India,Asia,0
1990,Nagoya,Japan,Asia,0
1990,Ningbo-Zhoushan,China,Asia,0
1990,Osaka,Japan,Asia,0
1990,Piraeus,Greece,Mediterranean,0
1990,Qingdao,China,Asia,0
1990,Qinzhou,China,Asia,0
1990,Quanzhou,China,Asia,0
1990,Rizhao,China,Asia,0
1990,Rotterdam,Netherlands,Northern Europe,0
1990,Said,Egypt,Middle East,0
1990,Salalah,Oman,Middle East,0
1990,Shanghai,China,Asia,0
1990,Shenzhen,China,Asia,0
1990,Singapore,Singapore,Asia,0
1990,Sydney,Australia,Oceania,0
1990,Taicang,China,Asia,0
1990,Taichung,Taiwan,Asia,0
1990,Tanger Med,Morocco,Mediterranean,0
1990,Tangshan,China,Asia,0
1990,Tanjung Pelepas,Malaysia,Asia,0
1990,Tanjung Perak,Indonesia,Asia,0
1990,Tanjung Priok,Indonesia,Asia,0
1990,Tianjin,China,Asia,0
1990,Tokyo,Japan,Asia,0
1990,Valencia,Spain,Mediterranean,0
1990,Xiamen,China,Asia,0
1990,Yantai,China,Asia,0
1990,Yingkou,China,Asia,0
1990,Yokohama,Japan,Asia,0
1990,Zhuhai,China,Asia,0
1991,Abu Dhabi,UAE,Middle East,14.41
1991,Alexandria,Egypt,Middle East,NaN
1991,Algeciras,Spain,Mediterranean,NaN
1991,Barcelona,Spain,Mediterranean,NaN
1991,Busan,South Korea,Asia,1.89
1991,Cartagena,Colombia,Central & South America,1.43
1991,Colombo,Sri Lanka,Asia,0.05
1991,Dalian,China,Asia,0.66
1991,Dubai,UAE,Middle East,0.73
1991,Felixstowe,UK,Northern Europe,NaN
1991,Genoa,Italy,Mediterranean,0.7
1991,Guangzhou,China,Asia,5.14
1991,Yeosu Gwangyang,South Korea,Asia,0.35
1991,Hai Phong,Vietnam,Asia,3.49
1991,Haikou,China,Asia,1.11
1991,Hong Kong,China,Asia,0.75
1991,Incheon,South Korea,Asia,1.66
1991,Jeddah,Saudi Arabia,Middle East,2.17
1991,Jiaxing,China,Asia,3.89
1991,Jinzhou,China,Asia,NaN
1991,Kaohsiung,Taiwan,Asia,4.79
1991,Karachi,Pakistan,Asia,2.12
1991,Port Klang,Malaysia,Asia,0.44
1991,Dammam,Saudi Arabia,Middle East,0.35
1991,King Abdullah,Saudi Arabia,Middle East,1.69
1991,Kobe,Japan,Asia,1.45
1991,Laem Chabang,Thailand,Asia,5.25
1991,Le Havre,France,Northern Europe,NaN
1991,Lianyungang,China,Asia,6.74
1991,Lome,Togo,Africa,0.33
1991,Los Angeles,USA,North America,0.61
1991,Manila,Philippines,Asia,0.69
1991,Manzanillo,Mexico,North America,0.08
1991,Jawaharlal Nehru,India,Asia,0.68
1991,Mundra,India,Asia,3.84
1991,Nagoya,Japan,Asia,2.68
1991,Ningbo-Zhoushan,China,Asia,11.21
1991,Osaka,Japan,Asia,1.69
1991,Piraeus,Greece,Mediterranean,NaN
1991,Qingdao,China,Asia,3.66
1991,Qinzhou,China,Asia,0.89
1991,Quanzhou,China,Asia,0.31
1991,Rizhao,China,Asia,0.9
1991,Rotterdam,Netherlands,Northern Europe,NaN
1991,Said,Egypt,Middle East,NaN
1991,Salalah,Oman,Middle East,1.26
1991,Shanghai,China,Asia,12.61
1991,Shenzhen,China,Asia,5.5
1991,Singapore,Singapore,Asia,16.35
1991,Sydney,Australia,Oceania,0.2
1991,Taichung,Taiwan,Asia,11.95
1991,Taicang,China,Asia,6.74
1991,Tianjin,China,Asia,8.71
1991,Tangshan,China,Asia,20.58
1991,Tanger Med,Morocco,Mediterranean,NaN
1991,Tokyo,Japan,Asia,4.26
1991,Tanjung Priok,Indonesia,Asia,0.49
1991,Tanjung Pelepas,Malaysia,Asia,1.33
1991,Tanjung Perak,Indonesia,Asia,NaN
1991,Valencia,Spain,Mediterranean,NaN
1991,Xiamen,China,Asia,0.81
1991,Yingkou,China,Asia,1.56
1991,Yantai,China,Asia,0.28
1991,Yokohama,Japan,Asia,1.13
1991,Zhuhai,China,Asia,0.66
1992,Abu Dhabi,UAE,Middle East,12.12
1992,Alexandria,Egypt,Middle East,NaN
1992,Algeciras,Spain,Mediterranean,NaN
1992,Barcelona,Spain,Mediterranean,NaN
1992,Busan,South Korea,Asia,1.92
1992,Cartagena,Colombia,Central & South America,NaN
1992,Colombo,Sri Lanka,Asia,0.1
1992,Dalian,China,Asia,0.52
1992,Dubai,UAE,Middle East,0.7
1992,Felixstowe,UK,Northern Europe,NaN
1992,Genoa,Italy,Mediterranean,NaN
1992,Guangzhou,China,Asia,3.39
1992,Yeosu Gwangyang,South Korea,Asia,0.51
1992,Hai Phong,Vietnam,Asia,NaN
1992,Haikou,China,Asia,1.15
1992,Hong Kong,China,Asia,0.61
1992,Incheon,South Korea,Asia,1.41
