Year,Seaport,Country,Region,"Reclaimed area (km^2, raw)","Reclaimed area (km^2, smoothed)",TEU (millions)
2011,Tianjin,China,Asia,96.39,96.39,11.5
2011,Singapore ,Singapore,Asia,39.09,39.93,29.9
2011,Shanghai,China,Asia,45.5,45.5,31.7
2011,Yingkou,China,Asia,32.85,32.85,4
2011,Tangshan,China,Asia,38.89,38.88,NaN
2011,Lianyungang,China,Asia,27,27,4.85
2011,Shenzhen,China,Asia,30.72,30.72,22.57
2011,Guangzhou,China,Asia,25.73,25.73,14.4
2011,Ningbo-Zhoushan,China,Asia,19.32,19.4,14.69
2011,Qingdao,China,Asia,22.03,23.76,13.02
2011,Rotterdam,Netherlands,Northern Europe ,18.37,18.37,11.88
2011,Dubai,UAE,Middle East,3.48,3.51,13
2011,Busan ,South Korea,Asia,16.98,16.98,16.18
2011,Dalian ,China,Asia,16.23,16.23,6.4
2011,Mundra,India,Asia,11.25,11.25,1.34
2011,Tokyo ,Japan,Asia,9.63,9.88,4.64
2011,Hong Kong,China,Asia,3.53,3.53,24.38
2011,Xiamen,China,Asia,3.78,3.78,6.46
2011,Los Angeles,USA,North America,2.67,2.77,7.94
2011,Tanjung Pelepas,Malaysia,Asia,3.52,3.78,7.5
2011,Laem Chabang,Thailand,Asia,8.74,8.74,5.73
2011,Tanjung Priok,Indonesia,Asia,0.61,0.61,5.26
2011,Colombo,Sri Lanka,Asia,1.2,1.04,4.26
2011,Jawaharlal Nehru,India,Asia,2.81,2.42,4.22
2011,Valencia,Spain,Mediterranean,3.71,3.7,4.3
2011,Manila,Philippines,Asia,2.3,2.19,3.25
2011,Piraeus,Greece,Mediterranean,1.1,1.1,1.68
2011,Algeciras,Spain,Mediterranean,2.48,2.48,3.6
2011,Jeddah,Saudi Arabia,Middle East,4.81,4.81,4
2011,Rizhao,China,Asia,8.04,8.04,NaN
2011,Felixstowe,UK,Northern Europe ,3.92,3.59,3.52
2011,Tanjung Perak,Indonesia,Asia,2.63,2.87,5.62
2011,Tanger Med,Morocco,Mediterranean,1.34,1.32,2.07
2011,Barcelona,Spain,Mediterranean,3.82,3.82,2.01
2011,Salalah,Oman,Middle East,2.44,2.4,3.2
2011,Incheon,South Korea,Asia,9.1,9.1,1.71
2011,Yantai,China,Asia,3,2.97,1.71
2011,Kobe,Japan,Asia,6.32,7.01,2.47
2011,Nagoya,Japan,Asia,5.5,6.52,2.62
2011,Le Havre,France ,Northern Europe ,3.05,3.05,2.22
2011,Genoa,Italy ,Mediterranean,1.15,1.28,1.85
2011,Sydney,Australia,Oceania,1.62,1.6,2.05
2011,Karachi,Pakistan,Asia,4.83,4.73,1.4
2012,Tianjin,China,Asia,131.06,131.06,12.3
2012,Singapore ,Singapore,Asia,42.82,42.82,31.6
2012,Shanghai,China,Asia,46.01,46.01,32.5
2012,Yingkou,China,Asia,41.47,41.47,4.8
2012,Tangshan,China,Asia,38.88,38.89,NaN
2012,Lianyungang,China,Asia,32.93,32.93,5.02
2012,Shenzhen,China,Asia,33.13,33.13,22.94
2012,Guangzhou,China,Asia,26.43,26.43,14.74
2012,Ningbo-Zhoushan,China,Asia,21.59,21.59,15.67
2012,Qingdao,China,Asia,25.73,25.73,14.5
2012,Rotterdam,Netherlands,Northern Europe ,20.5,20.5,11.87
2012,Dubai,UAE,Middle East,3.51,3.52,13.27
2012,Busan ,South Korea,Asia,19.14,19.14,17
2012,Dalian ,China,Asia,17.74,17.74,8
2012,Mundra,India,Asia,13.02,13.02,1.52
2012,Tokyo ,Japan,Asia,9.88,9.95,4.75
2012,Hong Kong,China,Asia,3.53,3.53,23.12
2012,Xiamen,China,Asia,3.87,3.8,7.2
2012,Los Angeles,USA,North America,2.76,2.83,8.08
2012,Tanjung Pelepas,Malaysia,Asia,3.69,3.78,7.7
2012,Laem Chabang,Thailand,Asia,8.77,8.77,5.83
2012,Tanjung Priok,Indonesia,Asia,0.66,0.66,6.2
2012,Colombo,Sri Lanka,Asia,1.04,1.2,4.18
2012,Jawaharlal Nehru,India,Asia,2.42,2.81,4.26
2012,Valencia,Spain,Mediterranean,3.78,3.71,4.47
2012,Manila,Philippines,Asia,2.19,2.23,3.71
2012,Piraeus,Greece,Mediterranean,1.01,1.1,2.75
2012,Algeciras,Spain,Mediterranean,2.66,2.63,4.11
2012,Jeddah,Saudi Arabia,Middle East,4.63,4.91,4.74
2012,Rizhao,China,Asia,9.31,9.31,NaN
2012,Felixstowe,UK,Northern Europe ,3.5,3.85,3.7
2012,Tanjung Perak,Indonesia,Asia,3,3,6.2
2012,Tanger Med,Morocco,Mediterranean,1.38,1.34,1.9
2012,Barcelona,Spain,Mediterranean,3.88,3.88,1.76
2012,Salalah,Oman,Middle East,2.03,2.44,3.62
2012,Incheon,South Korea,Asia,10.21,10.21,1.85
2012,Yantai,China,Asia,2.95,3,1.85
2012,Kobe,Japan,Asia,7.27,7.27,2.57
2012,Nagoya,Japan,Asia,6.26,6.82,2.66
2012,Le Havre,France ,Northern Europe ,2.81,3.09,2.31
2012,Genoa,Italy ,Mediterranean,1.41,1.41,2.06
2012,Sydney,Australia,Oceania,1.6,1.62,2.09
2012,Karachi,Pakistan,Asia,4.38,4.73,1.49
2013,Tianjin,China,Asia,136.32,136.32,13
2013,Singapore ,Singapore,Asia,48.82,48.82,32.2
2013,Shanghai,China,Asia,46.81,46.81,33.6
2013,Yingkou,China,Asia,44.26,44.26,5.3
2013,Tangshan,China,Asia,40.91,40.54,NaN
2013,Lianyungang,China,Asia,34.44,34.39,5.49
2013,Shenzhen,China,Asia,33.14,33.14,23.28
2013,Guangzhou,China,Asia,31.09,31.09,15.31
2013,Ningbo-Zhoushan,China,Asia,22.78,22.78,17.35
2013,Qingdao,China,Asia,26.4,26.4,15.52
2013,Rotterdam,Netherlands,Northern Europe ,21.49,21.27,11.62
2013,Dubai,UAE,Middle East,3.94,3.71,13.64
2013,Busan ,South Korea,Asia,20.05,20.05,17.69
2013,Dalian ,China,Asia,18.65,18.4,10.86
2013,Mundra,India,Asia,13.81,13.81,2.39
2013,Tokyo ,Japan,Asia,11.18,11.18,4.86
2013,Hong Kong,China,Asia,3.65,3.65,22.25
2013,Xiamen,China,Asia,3.8,3.87,8.01
2013,Los Angeles,USA,North America,3.28,3.28,7.87
2013,Tanjung Pelepas,Malaysia,Asia,4.36,4.18,7.63
2013,Laem Chabang,Thailand,Asia,8.81,8.81,6.03
2013,Tanjung Priok,Indonesia,Asia,0.68,0.68,6.59
2013,Colombo,Sri Lanka,Asia,1.67,1.67,4.31
2013,Jawaharlal Nehru,India,Asia,2.88,2.81,4.16
2013,Valencia,Spain,Mediterranean,3.86,3.73,4.33
2013,Manila,Philippines,Asia,2.33,2.28,3.77
2013,Piraeus,Greece,Mediterranean,1.1,1.1,3.16
2013,Algeciras,Spain,Mediterranean,2.91,2.66,4.5
2013,Jeddah,Saudi Arabia,Middle East,5.96,5.06,4.56
2013,Rizhao,China,Asia,10.15,10.15,2.03
2013,Felixstowe,UK,Northern Europe ,4.03,3.88,3.74
2013,Tanjung Perak,Indonesia,Asia,3.21,3.07,6.59
2013,Tanger Med,Morocco,Mediterranean,1.32,1.38,2.56
2013,Barcelona,Spain,Mediterranean,3.93,3.88,1.72
2013,Salalah,Oman,Middle East,2.4,2.51,3.34
2013,Incheon,South Korea,Asia,11.31,11.31,2.15
2013,Yantai,China,Asia,3.42,3.24,2.15
2013,Kobe,Japan,Asia,7.69,7.41,2.55
2013,Nagoya,Japan,Asia,6.52,6.82,2.71
2013,Le Havre,France ,Northern Europe ,3.13,3.1,2.49
2013,Genoa,Italy ,Mediterranean,1.46,1.41,1.99
2013,Sydney,Australia,Oceania,1.69,1.69,2.15
2013,Karachi,Pakistan,Asia,4.86,4.73,1.56
2014,Tianjin,China,Asia,165.21,165.21,14
2014,Singapore ,Singapore,Asia,49.98,49.89,33.8
2014,Shanghai,China,Asia,46.93,46.93,35.3
2014,Yingkou,China,Asia,45.07,45.07,5.61
2014,Tangshan,China,Asia,40.54,40.91,1.1
2014,Lianyungang,China,Asia,34.39,34.44,5
2014,Shenzhen,China,Asia,33.63,33.63,24.03
2014,Guangzhou,China,Asia,31.47,31.47,16.62
2014,Ningbo-Zhoushan,China,Asia,23.62,23.62,19.43
2014,Qingdao,China,Asia,27.59,27.59,16.62
2014,Rotterdam,Netherlands,Northern Europe ,21.7,21.47,12.29
2014,Dubai,UAE,Middle East,3.71,3.94,15.24
2014,Busan ,South Korea,Asia,20.58,20.32,18.63
2014,Dalian ,China,Asia,18.4,18.61,9.4
2014,Mundra,India,Asia,14.5,14.43,2.72
2014,Tokyo ,Japan,Asia,11.61,11.61,4.89
2014,Hong Kong,China,Asia,3.71,3.71,22.28
2014,Xiamen,China,Asia,4.36,4.36,8.57
2014,Los Angeles,USA,North America,3.34,3.31,8.34
2014,Tanjung Pelepas,Malaysia,Asia,4.65,4.29,8.52
2014,Laem Chabang,Thailand,Asia,8.88,8.88,6.53
2014,Tanjung Priok,Indonesia,Asia,0.7,0.7,5.9
2014,Colombo,Sri Lanka,Asia,1.83,1.68,4.9
2014,Jawaharlal Nehru,India,Asia,2.34,2.88,4.45
2014,Valencia,Spain,Mediterranean,3.7,3.74,4.44
2014,Manila,Philippines,Asia,2.43,2.3,3.81
2014,Piraeus,Greece,Mediterranean,1.17,1.12,3.58
2014,Algeciras,Spain,Mediterranean,2.69,2.69,4.55
2014,Jeddah,Saudi Arabia,Middle East,5.38,5.38,4.21
2014,Rizhao,China,Asia,11.84,11.84,2.42
2014,Felixstowe,UK,Northern Europe ,3.88,3.92,4.1
2014,Tanjung Perak,Indonesia,Asia,3.25,3.21,5.9
2014,Tanger Med,Morocco,Mediterranean,1.97,1.97,3.08
2014,Barcelona,Spain,Mediterranean,3.93,3.93,1.89
2014,Salalah,Oman,Middle East,2.38,2.73,3.03
2014,Incheon,South Korea,Asia,12.62,12.62,2.35
2014,Yantai,China,Asia,3.27,3.27,2.35
2014,Kobe,Japan,Asia,7.41,7.58,3.61
2014,Nagoya,Japan,Asia,6.96,6.96,2.73
2014,Le Havre,France ,Northern Europe ,3.25,3.1,2.55
2014,Genoa,Italy ,Mediterranean,1.49,1.46,2.17
2014,Sydney,Australia,Oceania,1.56,1.7,2.51
2014,Karachi,Pakistan,Asia,4.91,4.73,1.72
2015,Tianjin,China,Asia,168.22,168.22,14.1
2015,Singapore ,Singapore,Asia,49.89,49.98,30.9
2015,Shanghai,China,Asia,47.71,47.71,36.5
2015,Yingkou,China,Asia,45.79,45.79,5.92
2015,Tangshan,China,Asia,42.62,42.06,1.52
2015,Lianyungang,China,Asia,35.77,35.77,5
2015,Shenzhen,China,Asia,33.69,33.69,24.2
2015,Guangzhou,China,Asia,31.94,31.82,17.64
2015,Ningbo-Zhoushan,China,Asia,25.03,25.03,26.62
2015,Qingdao,China,Asia,27.99,27.99,17.51
2015,Rotterdam,Netherlands,Northern Europe ,21.67,21.49,12.23
2015,Dubai,UAE,Middle East,4.07,4.07,15.59
2015,Busan ,South Korea,Asia,20.65,20.58,19.46
2015,Dalian ,China,Asia,18.78,18.65,9.45
2015,Mundra,India,Asia,14.43,14.5,2.85
2015,Tokyo ,Japan,Asia,11.85,11.85,4.62
2015,Hong Kong,China,Asia,3.99,3.99,20.11
2015,Xiamen,China,Asia,4.61,4.61,9.18
2015,Los Angeles,USA,North America,3.31,3.34,8.16
2015,Tanjung Pelepas,Malaysia,Asia,4.81,4.36,9.12
2015,Laem Chabang,Thailand,Asia,8.91,8.91,6.78
2015,Tanjung Priok,Indonesia,Asia,0.81,0.81,5.2
2015,Colombo,Sri Lanka,Asia,1.68,1.83,5.18
2015,Jawaharlal Nehru,India,Asia,2.11,2.88,4.48
2015,Valencia,Spain,Mediterranean,3.84,3.74,4.61
2015,Manila,Philippines,Asia,2.15,2.33,3.97
2015,Piraeus,Greece,Mediterranean,1.2,1.17,3.33
2015,Algeciras,Spain,Mediterranean,2.63,2.69,4.51
2015,Jeddah,Saudi Arabia,Middle East,5.06,5.56,4.18
2015,Rizhao,China,Asia,11.99,11.99,2.81
