Year,Seaport,Country,Region,Region (with China),"Reclaimed area (km^2, raw)",TEU (millions)
2011,Algeciras,Spain,Mediterranean,Mediterranean,2.67,3.6
2011,Barcelona,Spain,Mediterranean,Mediterranean,3.44,2.01
2011,Busan,South Korea,Asia,Asia,13.08,16.18
2011,Colombo,Sri Lanka,Asia,Asia,0.9,4.26
2011,Dalian,China,Asia,China,15.2,6.4
2011,Dubai,UAE,Middle East,Middle East,2.79,13
2011,Felixstowe,UK,Northern Europe,Northern Europe,1.91,3.52
2011,Genoa,Italy,Mediterranean,Mediterranean,1.15,1.85
2011,Guangzhou,China,Asia,China,21.28,14.4
2011,Hong Kong,China,Asia,China,2.6,24.38
2011,Incheon,South Korea,Asia,Asia,8.09,1.71
2011,Jawaharlal Nehru,India,Asia,Asia,1.13,4.22
2011,Jeddah,Saudi Arabia,Middle East,Middle East,4.14,4
2011,Karachi,Pakistan,Asia,Asia,4.12,1.4
2011,Kobe,Japan,Asia,Asia,6.3,2.47
2011,Laem Chabang,Thailand,Asia,Asia,8.12,5.73
2011,Le Havre,France,Northern Europe,Northern Europe,2.54,2.22
2011,Lianyungang,China,Asia,China,18.08,4.85
2011,Los Angeles,USA,North America,North America,1.79,7.94
2011,Manila,Philippines,Asia,Asia,1.15,3.25
2011,Mundra,India,Asia,Asia,11.85,1.34
2011,Nagoya,Japan,Asia,Asia,4.91,2.62
2011,Ningbo-Zhoushan,China,Asia,China,19.71,14.69
2011,Piraeus,Greece,Mediterranean,Mediterranean,0.96,1.68
2011,Qingdao,China,Asia,China,17.59,13.02
2011,Rizhao,China,Asia,China,6.38,NaN
2011,Rotterdam,Netherlands,Northern Europe,Northern Europe,18.04,11.88
2011,Salalah,Oman,Middle East,Middle East,2.38,3.2
2011,Shanghai,China,Asia,China,38.02,31.7
2011,Shenzhen,China,Asia,China,27.31,22.57
2011,Singapore,Singapore,Asia,Asia,36.63,29.9
2011,Sydney,Australia,Oceania,Oceania,1.35,2.05
2011,Tanger Med,Morocco,Mediterranean,Mediterranean,1.34,2.07
2011,Tangshan,China,Asia,China,36.7,NaN
2011,Tanjung Pelepas,Malaysia,Asia,Asia,3.16,7.5
2011,Tanjung Perak,Indonesia,Asia,Asia,0.9,5.62
2011,Tanjung Priok,Indonesia,Asia,Asia,0.56,5.26
2011,Tianjin,China,Asia,China,83.4,11.5
2011,Tokyo,Japan,Asia,Asia,9.38,4.64
2011,Valencia,Spain,Mediterranean,Mediterranean,4.63,4.3
2011,Xiamen,China,Asia,China,3.53,6.46
2011,Yantai,China,Asia,China,2.88,1.71
2011,Yingkou,China,Asia,China,24.54,4
2012,Algeciras,Spain,Mediterranean,Mediterranean,2.81,4.11
2012,Barcelona,Spain,Mediterranean,Mediterranean,3.47,1.76
2012,Busan,South Korea,Asia,Asia,15.03,17
2012,Colombo,Sri Lanka,Asia,Asia,0.75,4.18
2012,Dalian,China,Asia,China,16.77,8
2012,Dubai,UAE,Middle East,Middle East,3.13,13.27
2012,Felixstowe,UK,Northern Europe,Northern Europe,1.85,3.7
2012,Genoa,Italy,Mediterranean,Mediterranean,1.41,2.06
2012,Guangzhou,China,Asia,China,16.67,14.74
2012,Hong Kong,China,Asia,China,1.91,23.12
2012,Incheon,South Korea,Asia,Asia,10.68,1.85
2012,Jawaharlal Nehru,India,Asia,Asia,1.61,4.26
2012,Jeddah,Saudi Arabia,Middle East,Middle East,3.99,4.74
2012,Karachi,Pakistan,Asia,Asia,4.39,1.49
2012,Kobe,Japan,Asia,Asia,7.22,2.57
2012,Laem Chabang,Thailand,Asia,Asia,7.8,5.83
2012,Le Havre,France,Northern Europe,Northern Europe,2.31,2.31
2012,Lianyungang,China,Asia,China,30.66,5.02
2012,Los Angeles,USA,North America,North America,1.71,8.08
2012,Manila,Philippines,Asia,Asia,1.95,3.71
2012,Mundra,India,Asia,Asia,13.7,1.52
2012,Nagoya,Japan,Asia,Asia,5.63,2.66
2012,Ningbo-Zhoushan,China,Asia,China,22.95,15.67
2012,Piraeus,Greece,Mediterranean,Mediterranean,0.9,2.75
2012,Qingdao,China,Asia,China,21.37,14.5
2012,Rizhao,China,Asia,China,7.69,NaN
2012,Rotterdam,Netherlands,Northern Europe,Northern Europe,20.17,11.87
2012,Salalah,Oman,Middle East,Middle East,2.59,3.62
2012,Shanghai,China,Asia,China,45.41,32.5
2012,Shenzhen,China,Asia,China,21,22.94
2012,Singapore,Singapore,Asia,Asia,43.42,31.6
2012,Sydney,Australia,Oceania,Oceania,1.34,2.09
2012,Tanger Med,Morocco,Mediterranean,Mediterranean,1.39,1.9
2012,Tangshan,China,Asia,China,41.66,NaN
2012,Tanjung Pelepas,Malaysia,Asia,Asia,3.29,7.7
2012,Tanjung Perak,Indonesia,Asia,Asia,1.14,6.2
2012,Tanjung Priok,Indonesia,Asia,Asia,0.6,6.2
2012,Tianjin,China,Asia,China,132.35,12.3
2012,Tokyo,Japan,Asia,Asia,9.57,4.75
2012,Valencia,Spain,Mediterranean,Mediterranean,4.67,4.47
2012,Xiamen,China,Asia,China,3.45,7.2
2012,Yantai,China,Asia,China,2.85,1.85
2012,Yingkou,China,Asia,China,32.71,4.8
2013,Algeciras,Spain,Mediterranean,Mediterranean,3.04,4.5
2013,Barcelona,Spain,Mediterranean,Mediterranean,3.53,1.72
2013,Busan,South Korea,Asia,Asia,16.26,17.69
2013,Colombo,Sri Lanka,Asia,Asia,1.37,4.31
2013,Dalian,China,Asia,China,18.07,10.86
2013,Dubai,UAE,Middle East,Middle East,3.58,13.64
2013,Felixstowe,UK,Northern Europe,Northern Europe,1.94,3.74
