Year,Seaport,Country,Region,Total reclaimed area (km^2),Rank by total reclamation,"TEU (millions, 2020)",Rank by Lloyd's List (2020 data)
2020,Tianjin,China,Asia,183.9,1,18.3531,8
2020,Singapore,Singapore,Asia,58.35,2,36.8709,2
2020,Yingkou,China,Asia,51.33,3,5.65,27
2020,Shanghai,China,Asia,51.07,4,43.5034,1
2020,Tangshan,China,Asia,46.41,5,3.12,60
2020,Lianyungang,China,Asia,43.55,6,4.8,35
2020,Shenzhen,China,Asia,33.76,7,26.55,4
2020,Guangzhou,China,Asia,32.7,8,23.5053,5
2020,Qingdao,China,Asia,30.32,9,4.009672,46
2020,Ningbo-Zhoushan,China,Asia,28.94,10,28.72,3
2020,Taicang,China,Asia,27.5,11,5.212,30
2020,Abu Dhabi,UAE,Middle East,24.12,12,3.22,56
2020,Taichung,Taiwan,Asia,23.64,13,1.821,95
2020,Rotterdam,Netherlands,Northern Europe,23.42,14,4.86,34
2020,Dalian,China,Asia,20.03,15,5.11,32
2020,Qinzhou,China,Asia,19.84,16,22.01,6
2020,Busan,South Korea,Asia,19.39,17,21.824,7
2020,Kaohsiung,Taiwan,Asia,16.32,18,9.621662,16
2020,Rizhao,China,Asia,15.71,19,2.26,81
2020,Hai Phong,Vietnam,Asia,15.52,20,5.1423,31
2020,Mundra,India,Asia,15.44,21,5.656594,26
2020,Incheon,South Korea,Asia,14.73,22,3.272213,55
2020,Tokyo,Japan,Asia,13.74,23,4.261793,44
2020,Laem Chabang,Thailand,Asia,9.78,24,7.5465,22
2020,Jiaxing,China,Asia,9.77,25,1.9557,89
2020,Haikou,China,Asia,8.94,26,1.97,88
2020,Kobe,Japan,Asia,8.28,27,2.647066,71
2020,Nagoya,Japan,Asia,7.95,28,2.471146,74
2020,Zhuhai,China,Asia,5.53,29,1.84,94
2020,Karachi,Pakistan,Asia,5.49,30,2.079,86
2020,Hong Kong,China,Asia,5.42,31,17.953,9
2020,Jeddah,Saudi Arabia,Middle East,5.23,32,4.737313,37
2020,Dubai,UAE,Middle East,5.04,33,13.488,11
2020,Colombo,Sri Lanka,Asia,4.77,34,6.854762,24
2020,Valencia,Spain,Mediterranean,4.76,35,5.428307,29
2020,Osaka,Japan,Asia,4.59,36,2.35225,79
2020,King Abdullah,Saudi Arabia,Middle East,4.51,37,2.153963,84
2020,Xiamen,China,Asia,4.31,38,11.41,14
2020,Barcelona,Spain,Mediterranean,4.07,39,2.95804,64
2020,Tanjung Pelepas,Malaysia,Asia,4.04,40,9.8,15
2020,Tanjung Perak,Indonesia,Asia,4.01,41,3.6,48
2020,Yokohama,Japan,Asia,3.83,42,2.661622,70
2020,Yantai,China,Asia,3.69,43,3.3002,54
2020,Tanjung Priok,Indonesia,Asia,3.5,44,6.8704,23
2020,Jawaharlal Nehru,India,Asia,3.43,46,4.47,39
2020,Yeosu Gwangyang,South Korea,Asia,3.43,45,2.158755,83
2020,Le Havre,France,Northern Europe,3.31,47,2.417,77
2020,Los Angeles,USA,North America,3.28,48,9.2134,17
2020,Algeciras,Spain,Mediterranean,3.1,49,5.107873,33
2020,Salalah,Oman,Middle East,3.04,50,4.34,43
2020,Alexandria,Egypt,Middle East,2.89,51,1.677017,99
2020,Manzanillo,Mexico,North America,2.74,52,2.908632,65
2020,Tanger Med,Morocco,Mediterranean,2.68,53,5.7712,25
2020,Quanzhou,China,Asia,2.62,54,3.95,47
2020,Manila,Philippines,Asia,2.57,55,4.442921,41
2020,Cartagena,Colombia,Central & South America,2.29,56,3.127579,59
2020,Genoa,Italy,Mediterranean,2.08,57,2.49885,73
2020,Dammam,Saudi Arabia,Middle East,2.03,58,1.863249,93
2020,Felixstowe,UK,Northern Europe,1.99,59,3.435,51
2020,Jinzhou,China,Asia,1.77,60,1.643,100
2020,Said,Egypt,Middle East,1.65,61,14.349446,10
2020,Piraeus,Greece,Mediterranean,1.51,62,5.437477,28
2020,Port Klang,Malaysia,Asia,1.49,63,13.244423,12
2020,Sydney,Australia,Oceania,1.42,64,2.395773,78
2020,Lome,Togo,Africa,1.37,65,1.72527,98
